Number,Address,Address,City,latitude,longitude
4200,FINNEY,4200 FINNEY,"Saint Louis Mo,",38.649578,-90.24182
9015,EDNA ST,9015 EDNA ST,"Saint Louis Mo,",38.721972,-90.236107
5860,DELMAR BLVD,5860 DELMAR BLVD,"Saint Louis Mo,",38.654247,-90.289024
5977,LALITE AVE,5977 LALITE AVE,"Saint Louis Mo,",38.701917,-90.257286
707,N KINGSHIGHWAY BLVD,707 N KINGSHIGHWAY BLVD,"Saint Louis Mo,",38.651812,-90.263567
2410,N GRAND BLVD,2410 N GRAND BLVD,"Saint Louis Mo,",38.651536,-90.223496
4250,E MARGARETTA AVE,4250 E MARGARETTA AVE,"Saint Louis Mo,",38.6698508,-90.2305897
2016,E OBEAR AVE,2016 E OBEAR AVE,"Saint Louis Mo,",38.6708371,-90.2100022
5445,PAGE BLVD,5445 PAGE BLVD,"Saint Louis Mo,",38.662817,-90.27545
4346,C D BANKS AVE,4346 C D BANKS AVE,"Saint Louis Mo,",38.651228,-90.246987
4855,NORTHLAND AVE,4855 NORTHLAND AVE,"Saint Louis Mo,",38.667595,-90.253073
3132,CHIPPEWA ST,3132 CHIPPEWA ST,"Saint Louis Mo,",38.587339,-90.237413
6644,OAKLAND AVE,6644 OAKLAND AVE,"Saint Louis Mo,",38.632042,-90.299248
3710,DARBY ST,3710 DARBY ST,"Saint Louis Mo,",38.688829,-90.274152
956,BATES ST,956 BATES ST,"Saint Louis Mo,",38.567394,-90.252417
3831,MERAMEC ST,3831 MERAMEC ST,"Saint Louis Mo,",38.583414,-90.248997
5345,THEKLA AVE,5345 THEKLA AVE,"Saint Louis Mo,",38.693123,-90.245666
