Number,Street,Address,City,latitude ,longitude
4109,ENRIGHT AVE,4109 ENRIGHT AVE,"Saint Louis MO,",38.646558,-90.242079
5029,EMERSON AVE,5029 EMERSON AVE,"Saint Louis MO,",38.692562,-90.249621
8880,N BROADWAY,8880 N BROADWAY,"Saint Louis MO,",38.726081,-90.227865
4669,DEWEY AVE,4669 DEWEY AVE,"Saint Louis MO,",38.577315,-90.251671
300,WALSH ST,300 WALSH ST,"Saint Louis MO,",38.566332,-90.241684
711,THRUSH AVE,711 THRUSH AVE,"Saint Louis MO,",38.710136,-90.228543
711,THRUSH AVE,711 THRUSH AVE,"Saint Louis MO,",38.710136,-90.228543
5505,LINDELL BLVD,5505 LINDELL BLVD,"Saint Louis MO,",38.64557,-90.279484
2811,DAYTON ST,2811 DAYTON ST,"Saint Louis MO,",38.64217,-90.216169
5401,RIDGE AVE,5401 RIDGE AVE,"Saint Louis MO,",38.66486,-90.27255
818,CLARENDON AVE,818 CLARENDON AVE,"Saint Louis MO,",38.65369,-90.270322
1610,OLIVE ST,1610 OLIVE ST,"Saint Louis MO,",38.630819,-90.203358
5019,KENSINGTON AVE,5019 KENSINGTON AVE,"Saint Louis MO,",38.654029,-90.26386
5889,PLYMOUTH AVE,5889 PLYMOUTH AVE,"Saint Louis MO,",38.665477,-90.287652
4183,ENRIGHT AVE,4183 ENRIGHT AVE,"Saint Louis MO,",38.647472,-90.244153
